t / degC,R / ohm (CH1),ln(R/ohm),1/T / K^-1,U / V (CH2)
23.055,1844.467809,7.51994606,0.0033760402,0.48728350
24.035,1802.523422,7.49694286,0.0033649074,0.48623469
25.032,1743.885770,7.46387110,0.0033536565,0.48445156
26.008,1679.656159,7.42634438,0.0033427152,0.48222485
27.007,1614.194877,7.38659158,0.0033315898,0.47972515
28.028,1550.579223,7.34638383,0.0033202956,0.47710851
28.989,1494.110763,7.30928650,0.0033097349,0.47465482
30.012,1435.120132,7.26900384,0.0032985664,0.47196737
30.983,1381.977432,7.23127067,0.0032880352,0.46944073
30.986,1760.565892,7.47339057,0.0032880027,0.48465338
31.990,1328.171958,7.19155881,0.0032771842,0.46677986
32.988,1277.021335,7.15228556,0.0032665007,0.46414163
33.010,1630.267926,7.39649965,0.0032662660,0.48003009
33.994,1225.753678,7.11131118,0.0032558018,0.46139303
35.005,1512.903125,7.32178568,0.0032451202,0.47546580
37.003,1404.255772,7.24726274,0.0032242151,0.47084692
39.011,1304.750818,7.17376736,0.0032034751,0.46622100
41.000,1214.218659,7.10185607,0.0031831927,0.46163335
43.003,1131.117203,7.03096110,0.0031630255,0.45703664
44.996,1053.500059,6.95987329,0.0031432110,0.45236984
47.004,982.449948,6.89004940,0.0031234968,0.44771328
48.993,917.612011,6.82177466,0.0031042115,0.44309261
50.990,857.253901,6.75373414,0.0030850867,0.43841973
53.007,800.164598,6.68481745,0.0030660081,0.43361416
55.001,748.279855,6.61777705,0.0030473776,0.42886510
57.002,699.506205,6.55037467,0.0030289079,0.42401757
59.009,654.490778,6.48385750,0.0030106064,0.41915705
61.005,612.033195,6.41678652,0.0029926232,0.41417625
62.998,572.299932,6.34966321,0.0029748801,0.40910723
64.998,535.588892,6.28336688,0.0029572850,0.40402260
66.999,500.528216,6.21566397,0.0029398881,0.39874055
69.006,467.563508,6.14753519,0.0029226435,0.39333012
70.998,436.332401,6.07840434,0.0029057266,0.38774123
72.991,406.541998,6.00768724,0.0028889961,0.38192608
75.004,377.486967,5.93353604,0.0028722921,0.37570097
77.002,348.845622,5.85462948,0.0028559026,0.36893620
78.999,318.286050,5.76295051,0.0028397071,0.36087360
81.006,290.690499,5.67225912,0.0028236145,0.35292008
82.998,273.156719,5.61004569,0.0028078215,0.34733679
84.997,256.750092,5.54810321,0.0027921496,0.34164359
87.006,241.122648,5.48530572,0.0027765746,0.33580246
89.003,227.518572,5.42723187,0.0027612639,0.33039608
