t / degC,R / ohm (CH1),ln(R/ohm),1/T / K^-1,U / V (CH2)
23.055,1844.467809,7.51994606,0.0033760402,0.48728350
24.035,1802.523422,7.49694286,0.0033649074,0.48623469
25.032,1743.885770,7.46387110,0.0033536565,0.48445156
26.008,1679.656159,7.42634438,0.0033427152,0.48222485
27.007,1614.194877,7.38659158,0.0033315898,0.47972515
28.028,1550.579223,7.34638383,0.0033202956,0.47710851
28.989,1494.110763,7.30928650,0.0033097349,0.47465482
30.012,1435.120132,7.26900384,0.0032985664,0.47196737
30.983,1381.977432,7.23127067,0.0032880352,0.46944073
31.990,1328.171958,7.19155881,0.0032771842,0.46677986
32.988,1277.021335,7.15228556,0.0032665007,0.46414163
33.994,1225.753678,7.11131118,0.0032558018,0.46139303
