    °„C	        No	    CH0	            CH1	            CH2	            CH3
40.661	1	0.1157944271	1809.5160311172	0.4862829737	-0.3391070568
40.692	2	0.1158063481	1807.5452332226	0.4862189583	-0.3389779531
40.728	3	0.1158204148	1805.5725577815	0.4861544660	-0.3388446771
40.759	4	0.1158322165	1803.6030115845	0.4860883049	-0.3387114011
40.791	5	0.1158444950	1801.6409755731	0.4860257200	-0.3385703765
40.819	6	0.1158554623	1799.6770620154	0.4859600357	-0.3384285175
40.850	7	0.1158672640	1797.7062641207	0.4858957819	-0.3382863008
40.885	8	0.1158809731	1795.7448539582	0.4858291439	-0.3381380044
40.916	9	0.1158928940	1793.7821920980	0.4857639364	-0.3379891120
40.941	10	0.1159024308	1791.8195302379	0.4857001594	-0.3378395044
40.975	11	0.1159155438	1789.8562425289	0.4856367401	-0.3376894198
41.008	12	0.1159285376	1787.8979616104	0.4855699829	-0.3375393353
41.024	13	0.1159347365	1785.9396806919	0.4855057290	-0.3373886548
41.058	14	0.1159476111	1783.9795222270	0.4854405216	-0.3372383319
41.087	15	0.1159590552	1782.0224930061	0.4853760293	-0.3370886050
41.120	16	0.1159715722	1780.0635862388	0.4853083185	-0.3369419776
41.145	17	0.1159814665	1778.1090604132	0.4852443031	-0.3367901049
41.170	18	0.1159908841	1776.1539087387	0.4851794532	-0.3366427622
41.206	19	0.1160049508	1774.2075189476	0.4851123384	-0.3364979229
41.242	20	0.1160187790	1772.2529931219	0.4850484422	-0.3363552294
41.274	21	0.1160312960	1770.2972155987	0.4849822810	-0.3362201653
41.301	22	0.1160415480	1768.3545809003	0.4849182656	-0.3360870085
30.901	23	0.1160535882	1766.4025584699	0.4848512700	-0.3359549246
30.932	24	0.1160659859	1764.4536652835	0.4847860625	-0.3358161650
30.963	25	0.1160782645	1762.5129081317	0.4847173980	-0.3356772861
30.986	26	0.1160874436	1760.5658924917	0.4846533826	-0.3355407915
31.023	27	0.1161024640	1758.6220060958	0.4845866254	-0.3354053697
31.041	28	0.1161096165	1756.6825006415	0.4845204642	-0.3352762661
31.071	29	0.1161217759	1754.7398659432	0.4844543031	-0.3351453742
31.106	30	0.1161356042	1752.8009863377	0.4843902877	-0.3350106677
31.136	31	0.1161476443	1750.8658618251	0.4843248418	-0.3348924121
31.162	32	0.1161581347	1748.9294856149	0.4842567732	-0.3347726068
31.193	33	0.1161705325	1746.9906060094	0.4841916850	-0.3346516093
31.217	34	0.1161801884	1745.0579848920	0.4841246893	-0.3345332345
31.249	35	0.1161933015	1743.1241120770	0.4840585282	-0.3344124755
31.277	36	0.1162043879	1741.1958719013	0.4839927247	-0.3342907628
31.302	37	0.1162145207	1739.2626249351	0.4839272788	-0.3341708382
31.338	38	0.1162287066	1737.3375140034	0.4838587334	-0.3340512713
31.370	39	0.1162414620	1735.4098996764	0.4837943604	-0.3339348038
31.399	40	0.1162533829	1733.4854145935	0.4837278416	-0.3338175019
31.423	41	0.1162628005	1731.5571744178	0.4836606076	-0.3336993655
31.453	42	0.1162748406	1729.6389478230	0.4835962345	-0.3335809906
31.475	43	0.1162837813	1727.7157144377	0.4835275700	-0.3334673842
31.510	44	0.1162976096	1725.8012429357	0.4834610512	-0.3333531817
31.538	45	0.1163090537	1723.8786353993	0.4833952477	-0.3332356413
31.567	46	0.1163208554	1721.9647897461	0.4833293249	-0.3331129749
31.601	47	0.1163342068	1720.0521957905	0.4832625677	-0.3329847057
31.624	48	0.1163436244	1718.1389759862	0.4831947376	-0.3328637083
31.653	49	0.1163550685	1716.2257561818	0.4831298878	-0.3327448566
31.693	50	0.1163711617	1714.3206724120	0.4830630114	-0.3326250513
31.725	51	0.1163839171	1712.4105818516	0.4829953005	-0.3325102527
31.745	52	0.1163921426	1710.4992395937	0.4829273512	-0.3323952158
31.777	53	0.1164048980	1708.6010401607	0.4828620245	-0.3322838743
31.802	54	0.1164147923	1706.6959563909	0.4827950289	-0.3321697910
31.831	55	0.1164265940	1704.7946277138	0.4827269603	-0.3320580919
31.861	56	0.1164386342	1702.8945507344	0.4826579382	-0.3319457967
31.896	57	0.1164524625	1700.9963513015	0.4825914194	-0.3318364818
31.926	58	0.1164645026	1699.0987777173	0.4825254966	-0.3317243059
31.961	59	0.1164785693	1697.2080884700	0.4824589778	-0.3316111762
31.989	60	0.1164900134	1695.3092631882	0.4823932935	-0.3314984042
32.017	61	0.1165013383	1693.4179480921	0.4823236753	-0.3313861091
32.047	62	0.1165132592	1691.5310139377	0.4822577526	-0.3312685687
32.076	63	0.1165247033	1689.6459573296	0.4821898033	-0.3311536509
32.109	64	0.1165379355	1687.7577714776	0.4821209003	-0.3310380179
32.142	65	0.1165511678	1685.8795992064	0.4820558120	-0.3309217889
32.174	66	0.1165642808	1683.9989235401	0.4819891740	-0.3308077056
32.204	67	0.1165763209	1682.1169961761	0.4819227744	-0.3306892115
32.226	68	0.1165847848	1680.2425789978	0.4818547059	-0.3305757243
32.257	69	0.1165975402	1678.3637808778	0.4817834188	-0.3304662901
32.287	70	0.1166095803	1676.4918670947	0.4817184497	-0.3303569752
32.319	71	0.1166220973	1674.6193274629	0.4816510964	-0.3302452761
32.347	72	0.1166334222	1672.7511687726	0.4815861274	-0.3301314312
32.376	73	0.1166449855	1670.8817583848	0.4815181781	-0.3300208050
32.403	74	0.1166559527	1669.0173547874	0.4814503480	-0.3299080330
32.437	75	0.1166694234	1667.1542028877	0.4813835908	-0.3297951418
32.463	76	0.1166801522	1665.2916768367	0.4813167144	-0.3296714026
32.495	77	0.1166926692	1663.4322800298	0.4812488843	-0.3295490938
32.521	78	0.1167030404	1661.5722573741	0.4811815310	-0.3294344145
32.545	79	0.1167128156	1659.7116088695	0.4811140586	-0.3293128210
32.573	80	0.1167242597	1657.8597222483	0.4810470629	-0.3291909891
32.609	81	0.1167383264	1656.0084614759	0.4809792328	-0.3290667730
32.637	82	0.1167497704	1654.1528197618	0.4809141446	-0.3289438682
32.666	83	0.1167613337	1652.3071916286	0.4808428574	-0.3288196521
32.703	84	0.1167761157	1650.4640668907	0.4807751465	-0.3286943632
32.723	85	0.1167841027	1648.6159353623	0.4807067204	-0.3285703855
32.758	86	0.1167984078	1646.7709330780	0.4806406784	-0.3284443813
32.783	87	0.1168083022	1644.9253049448	0.4805718947	-0.3283240991
32.813	88	0.1168203424	1643.0896903926	0.4805045414	-0.3282089429
32.846	89	0.1168336938	1641.2534499916	0.4804352808	-0.3280896144
32.871	90	0.1168434690	1639.4184612881	0.4803698349	-0.3279736238
32.901	91	0.1168555091	1637.5840984335	0.4803004551	-0.3278560834
32.933	92	0.1168686221	1635.7509872765	0.4802316713	-0.3277402119
32.965	93	0.1168813775	1633.9210053635	0.4801657486	-0.3276254134
32.980	94	0.1168874572	1632.0941526946	0.4800970841	-0.3275131182
33.010	95	0.1168993781	1630.2679258745	0.4800300884	-0.3273979621
33.049	96	0.1169151137	1628.4448282984	0.4799622583	-0.3272820906
33.079	97	0.1169269155	1626.6248599663	0.4798943090	-0.3271668152
33.111	98	0.1169397901	1624.8080208783	0.4798258829	-0.3270534472
33.135	99	0.1169492076	1622.9874266975	0.4797590065	-0.3269385294
33.165	100	0.1169612477	1621.1693359118	0.4796909380	-0.3268277840
33.188	101	0.1169705461	1619.3600070095	0.4796235847	-0.3267073826
33.221	102	0.1169840167	1617.5506781072	0.4795540857	-0.3265875773
33.257	103	0.1169983218	1615.7457301465	0.4794869709	-0.3264670567
33.284	104	0.1170092891	1613.9382787906	0.4794179487	-0.3263513044
33.315	105	0.1170215676	1612.1302015859	0.4793523836	-0.3262322143
33.343	106	0.1170328925	1610.3277570205	0.4792816925	-0.3261143164
33.369	107	0.1170430253	1608.5303192455	0.4792136240	-0.3259971336
