    °„C	        No	    CH0	            CH1	            CH2	            CH3
30.429	1	0.1118378706	1898.8146423587	0.4880739741	0.0055686239
30.417	2	0.1118334598	1898.6556767616	0.4880805306	0.0047036412
30.385	3	0.1118208237	1898.7082480614	0.4880891137	0.0038021805
30.365	4	0.1118131943	1899.0731179162	0.4881000810	0.0028890373
30.342	5	0.1118043728	1899.8754560873	0.4881217771	0.0019685031
30.334	6	0.1118012733	1900.7879436486	0.4881438308	0.0010559559
30.320	7	0.1117957897	1901.3693571907	0.4881590896	0.0001503229
30.304	8	0.1117894716	1901.6678870718	0.4881698184	-0.0007519722
30.282	9	0.1117810078	1902.0684303086	0.4881861501	-0.0016506911
30.257	10	0.1117714710	1902.6792587447	0.4882115417	-0.0025490524
30.249	11	0.1117682524	1903.4446718362	0.4882440858	-0.0034382345
30.233	12	0.1117620535	1904.2783024477	0.4882819944	-0.0043296817
30.210	13	0.1117533512	1905.1907900089	0.4883218103	-0.0051963332
30.210	14	0.1117532320	1906.0456994799	0.4883593612	-0.0060815815
30.216	15	0.1117556162	1906.7691807013	0.4883907132	-0.0069662337
20.212	16	0.1117588348	1907.2892610603	0.4884144359	-0.0078357463
20.229	17	0.1117653913	1907.7198450398	0.4884321981	-0.0086911922
20.243	18	0.1117709942	1908.2975034891	0.4884492450	-0.0095614201
20.258	19	0.1117770738	1909.0197330129	0.4884734445	-0.0104515559
20.271	20	0.1117823191	1909.7475951760	0.4885019355	-0.0113354928
20.276	21	0.1117845840	1910.3897160524	0.4885279231	-0.0121777065
20.286	22	0.1117883987	1911.0725171013	0.4885589176	-0.0130271919
20.302	23	0.1117950745	1914.5228215768	0.4886396222	-0.0139091023
20.164	24	0.1117392845	1922.0592929160	0.4888649278	-0.0147849330
20.049	25	0.1116929121	1927.1461920229	0.4890145355	-0.0156210670
20.119	26	0.1117212839	1928.9905684585	0.4890810543	-0.0164721022
20.208	27	0.1117569275	1929.8936682876	0.4891153866	-0.0172925006
20.367	28	0.1118211813	1929.2615609921	0.4891276651	-0.0181126605
20.883	29	0.1120287247	1920.8176088820	0.4890517288	-0.0189576160
21.571	30	0.1123054094	1890.2311259646	0.4885706001	-0.0197948229
22.093	31	0.1125154562	1869.0229874267	0.4880222373	-0.0206050885
22.263	32	0.1125837632	1864.6232703104	0.4878331714	-0.0214190496
22.442	33	0.1126556464	1861.1854828111	0.4877097897	-0.0222466005
22.599	34	0.1127189465	1856.5341744741	0.4875852160	-0.0230530514
22.771	35	0.1127880879	1853.2065363649	0.4874756627	-0.0238617673
22.912	36	0.1128449507	1849.1942196604	0.4873785071	-0.0246698871
23.055	37	0.1129021712	1844.4678094666	0.4872834973	-0.0254735962
23.176	38	0.1129509278	1839.7626781322	0.4871802620	-0.0262750403
23.299	39	0.1130006381	1835.1207575274	0.4870753579	-0.0270713584
23.416	40	0.1130473681	1830.4988640844	0.4869648508	-0.0278652923
23.523	41	0.1130905219	1825.8744672462	0.4868532709	-0.0286484974
23.640	42	0.1131376095	1821.2531996520	0.4867364458	-0.0294231194
23.747	43	0.1131807633	1816.6131565936	0.4866153292	-0.0301891583
23.843	44	0.1132190295	1811.9449503389	0.4864917091	-0.0309349317
